date,datetime,target_cat,damage,oblasts,confirmed,text_snippet
2024-06-24,2024-06-24 06:32,radar_ad,confirmed,tver,1,"Скоріше за все русня збила з с-400 перший атакамс над пляжем, де відпочивали люди. Але карма настигла його дуже швидко, наступна ракета ймовірно уєбала дві ПУ 5П85СМ2-0й1/5П85Т2, і радар **91Н6E.   **Чекаємо ймовірного підтвердження за допомогою фотографій, або супутникових знімків."
2024-06-24,2024-06-24 13:59,unknown,unknown,unknown,0,"**Вітіно. Навколо головних антен центру космічного спостереження звʼязку зсрф чітко видно сліди горіння після атаки**  Крім того, ймовірно, горіли одні з будівель, які є основною всієї системи на території в/ч  Почекаємо якісні супутнікові знімки, або офіційну інформацію, але щось підказує, **що в/ч не в дуже хорошому стані 🤭**"
2024-06-24,2024-06-24 17:10,unknown,unknown,unknown,0,"Коротко про розмову з одним із оператором дронів ""Рам-Х"".  -Які плюси ram-x?  -Ну, ""Рам-Х"" – це реально крута штука. Найбільший плюс – це точність. Летить куди треба. Ще один великий плюс – він працює навіть у складних погодних умовах, як от дощ чи сильний вітер. Летить далеко і точно. Його мінусом є його кількість, нажаль держава не вкладає в нього настільки великі кошти, скільки потрібно нам зараз.   - Що ти саме топове вражав за допомогою ""Рам-Х""?  - Російську системи ППО ""Тор-М2"" у Бєлгародц"
2024-06-24,2024-06-24 20:42,unknown,confirmed,tver,1,"Файпєтух заявляє, що вони могли збити (підбити, або спричинити падіння) над акваторією чорного моря натівський бпла mq-9 reaper. Чекаємо на офіційне підтвердження від руснявих помийок"
2024-06-26,2024-06-26 07:24,unknown,unknown,unknown,0,"**Тактика застосування ""Дрономатки""**  Український дрон-матка, що діє як командний та контрольний пункт, розгортається над полем бою. Він працює на великій висоті, поза межами легкого виявлення, і забезпечує стабільний зв'язок для рою FPV-дронів. Цей дрон-матка може запускати та координувати до 10 FPV-дронів, що значно розширює їх оперативний діапазон. Під час нещодавньої операції дрон-матка завис над зоною боїв, передаючи відео в режимі реального часу та інформацію про цілі операторам на землі."
2024-06-26,2024-06-26 09:16,ammunition_depot,explosion,unknown,0,"**Застосування БПЛА «Баба Яга» на Херсонському напрямку  **Українські військові активно використовують дрони ""Баба Яга"" на Херсонському напрямку для здійснення нічних атак на російські війська. Ці важкі ударні гексакоптери отримали свою назву через їхню здатність завдавати значної шкоди російським силам, особливо вночі. Дрони ""Баба Яга"" є модернізованими сільськогосподарськими дронами, які можуть переносити до 20 кг вибухівки. Одним із основних тактичних застосувань цих дронів є нічні рейди, під"
2024-06-26,2024-06-26 12:41,unknown,explosion,tver,0,"З приводу заяви Forbes, що Україна виробляє понад 3000 фпв на день.  Спростувати чи підтвердити її не маю права, бо дяді СБУ мене накажуть, але можу прокоментувати її.  Україна на своїй території виробляє достатньо велику кількість дронів на день. Враховуючи те, що країни Балтії почали виробляти фпв в себе на території, а потім партіями відправляти до нас, то цілком можливо, що разом ми можемо назбирати 3 000 фпвішок, але щоб Україна власноруч виробляла таку кількість, то це навряд чи.  Просто н"
2024-06-26,2024-06-26 13:53,naval_port,explosion,sevastopol,0,"Стала відома ще одна українська розробка, пов'язана з морськими безпілотниками. Українські морські безпілотники навчилися мінувати морські шляхи російських кораблів. Завдяки такій тактиці було потоплено чотири судна противника.  Протягом декількох тижнів SeaBaby заклала близько 15 мін. Під час одного з виплавів безпілотник відкрив вогонь із гранатомета на російські патрульні катери класу ""Раптор"", пошкодивши їх. 11 жовтня при вході в Севастопольську бухту був пошкоджений великий патрульний катер"
2024-06-26,2024-06-26 15:26,unknown,unknown,unknown,0,"Остін подзвонив попередити Бєлоусова що далі справи на полі бою для росії будуть лише гірші? 🤔  Міністр оборони США Ллойд Остін 25 червня поговорив по телефону з міністром оборони Росії Андрієм Бєлоусовим.  Багатьох людей обурила ця новина, але я нагадаю що це була перша телефонна розмова глави Пентагону з російським міністром оборони на такому рівні за останні 15 місяців, ініціатором бесіди виступила саме американці. Їхні джерела не розкрили деталей розмови, але відомо, що США підкреслюють, що "
2024-06-27,2024-06-27 06:38,chemical_factory,unknown,tver,0,"Відео ранкової атаки українських дронів на завод хімічної продукції для авіаційної промисловості. 27 червня. Тверська область, рф"
2024-06-27,2024-06-27 08:22,airbase_strategic,unknown,sevastopol,0,"Надпис ""за Севастополь"" на крилатій ракеті на борту Ту-22  Росіяни оцінюють удари України по рф як тероризм по відношенню до них, не задумуючись що вони лише отримують відповідь за обстріли території України  Це цілком поширене суспільне явище і не треба цьому дивуватись  російська влада використовує потужну пропаганду для створення образу ворога та виправдання своїх агресивних дій. росіяни не вважають за потрібне зважати на страждання України, а натомість фокусуються на власних втратах та руйну"
2024-06-27,2024-06-27 16:41,naval_port,destroyed,unknown,0,"**Там російське мін. оборони заявило що до кінця 2024 року вмс рф отримає 40 нових кораблів. В таку кількість можна повірити тільки якщо абсолютну більшість там займатимуть маленькі моторні човни, хоча російські чиновники люблять малювати цифри. Навіть якщо це правда то в статистиці знищених цілей українськими морськими дронами нових кораблів напівіснуючого ЧФ рф стане більше ніж старих ** 🔸[**Підписатися**](https://t.me/dronbomber) 🔸[**Підтримати **](https://send.monobank.ua/jar/8ZrrZBsyQT)🔸[**"
2024-06-27,2024-06-27 19:15,unknown,unknown,unknown,0,"**🏭 Schiebel відкриває новий завод із виробництва вертольотних дронів **[**S-100**](https://schiebel.net/products/camcopter-s-100/)** у Франції**.  🚁 Безпілотний гелікоптер Camcopter S-100 важить 110 фунтів(50 кілограмів) і оснащений двигуном внутрішнього згоряння потужністю 55 кінських сил, що дозволяє йому пересуватися за будь-якої погоди зі швидкістю до 140 миль(220 кілометрів) на годину.  Його інтерфейс керування з підтримкою ""вкажи та клацни"" дозволяє користувачам інтегрувати його в морські"
2024-06-28,2024-06-28 04:25,unknown,destroyed,tambov,0,**Сьогодні близько 4 годин ранку безпілотник атакував нафтобазу в Тамбовській області**  На місці влучання почалася пожежа
2024-06-28,2024-06-28 11:33,unknown,unknown,unknown,0,"**Український FPV збиває російський дрон, схожий на Autel, таранним ударом.  **🔸[Підписатися](https://t.me/dronbomber) 🔸[Підтримати ](https://send.monobank.ua/jar/8ZrrZBsyQT)🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-06-29,2024-06-29 09:21,airbase,fire,tver|crimea|sevastopol,0,"**Частина 2** ( [**частина 1**](https://t.me/dronbomber/326) ):**  Тести у 2024 році **У 2024 році було повідомлено про використання ракетної системи ""Сапсан"" для ударів по території Росії та тимчасово окупованому Криму. За словами деяких джерел, удари були спрямовані на військові об'єкти, зокрема аеродром Бельбек біля Севастополя  [(](https://www.voanews.com/a/nato-ukraine-council-to-meet-on-russian-drone-missile-attacks-/7426238.html)[Voice of America](https://www.voanews.com/a/nato-ukraine-co"
2024-06-29,2024-06-29 09:49,radar_ad,destroyed,unknown,0,"Ураження підрозділами СБУ ЗРК «Бук», чотирьох ЗРК «Тор-М1/М2» та трьох ЗРГК «Панцирь-С1» зсрф.  «Тор» на мою думку одне з найкращих ЗРК підорів на озброєнні. Це мегакрутий результат. СБУ 👏  🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-06-30,2024-06-30 10:59,unknown,unknown,unknown,0,"**Удари FPV-дронами по повітряним цілям:  Частина 1:**  Останнім часом Україна активно використовує FPV-дрони для протидії російським розвідувальним дронам та баражуючим боєприпасам, таким як Orlan, ZALA та Lancet. Це стало відповіддю на зростаючу загрозу з боку російських безпілотників, які коригують артилерійський вогонь і здійснюють удари по українських позиціях [(](https://news.yahoo.com/news/ukraine-situation-report-drone-drone-232759716.html)[Yahoo News - Latest News & Headlines](https://n"
2024-06-30,2024-06-30 10:59,radar_ad,unknown,unknown,0,"**Частина 2:**  FPV-дрони модифіковані спеціально для перехоплення цих цілей. Вони начинені вольфрамовими кульками та дистанційним підривником, що дозволяє ефективно уражати ворожі дрони у повітрі. Цей підхід ставить перед собою мету не лише збивати дрони, але й знижувати бойову ефективність російських військ, позбавляючи їх ""очей"" у небі, тому що розвідувальні дрони в нашому тилу роблять дуже багато біди. Один із найвідоміших і мабуть найболючіших - удар по пусковим Патріот та по його радару. Д"
2024-06-30,2024-06-30 11:44,radar_ad,destroyed,tver,1,"**Система реб для боротьби з розвід. бпла і Ланцетами:**  Українські винахідники створили унікальну зброю «Анти-Зала», призначену для протидії російським дронам «Ланцет» і Zala. Ця новітня система використовує передові технології для виявлення та знищення безпілотників на великій відстані, працюючи в автоматичному режимі до 2.5 годин, зручна для переноски.  «Ланцет без діла, Арта ціла» — цей вислів з’явився під час перших випробувань системи, що підтверджує її ефективність. «Анти-Зала» оснащена "
2024-07-01,2024-07-01 09:11,unknown,unknown,kursk,0,**Внаслідок атак дронів у БНР настав блекаут. Перебої із електрикою є також у Воронезькій та Курській республіках.** [ ](https://send.monobank.ua/jar/8ZrrZBsyQT)🔸[Зв'язок](https://t.me/dronebomber_bot)
2024-07-01,2024-07-01 12:37,naval_port,unknown,unknown,0,"**Марічка - новий підводний дрон України (частина 1) ** ""Марічка"" – це новий український підводний дрон, розроблений для виконання різних місій, зокрема атак, транспортування вантажів та розвідки. Цей дрон був створений командою волонтерів з AMMO.Ukraine за підтримки громадських пожертвувань. Його вартість становить приблизно 16 мільйонів гривень (близько 433 тисяч доларів США)  [(](https://www.navalnews.com/naval-news/2023/08/ukraines-new-underwater-drone-marichka-breaks-cover/)[Naval News](htt"
2024-07-01,2024-07-01 12:37,naval_port,unknown,unknown,0,"**Марічка - новий підводний дрон України (частина 2)  Характеристики:   • Довжина:** 6 метрів ** • Ширина:** 1 метр ** • Дальність дії:** до 1000 кілометрів ** • Вартість:** 16 мільйонів гривень  **• Корисне навантаження: **1 тона   ""Марічка"" здатна вражати десантні кораблі, човни, підводні човни, ракетні корвети, а також берегові укріплення і мости. Крім атакуючих функцій, дрон може транспортувати як військові, так і цивільні вантажі, виконуючи розвідувальні місії. Дрон може бути активований як"
2024-07-01,2024-07-01 19:40,unknown,unknown,crimea|sevastopol,0,"💥 **В Криму сьогодні було щонайменше два прильоти. **[**Другий**](https://t.me/kiber_boroshno/8856)** – Севастопольський р-он**  Швидше за все прилетіло по військових складах на території в/ч «99375», яка була сформована рф після захоплення Криму  [**Kravchuk**](https://t.me/+2uzptlD9m0s2ZGVi)"
2024-07-02,2024-07-02 10:00,unknown,destroyed,sevastopol,0,"Російські ЗМІ повідомляють, що вчора в Севастополі було знищено склад з Shahed-136. Згідно з даними розвідки орієнтована кількість знищених бпла - до 90 одиниць. Ого, вот ета ніхуя сібє новина"
2024-07-02,2024-07-02 12:24,unknown,destroyed,tver|sevastopol,1,"**Модернізовані ""Нептуни"" можуть запускатися з літаків??**  Згідно з останніми фактами, здається, що українські військові інженери могли прикрутити ""Нептуни"" для запуску з літаків. Це значно збільшує їх потенціал для ураження як морських, так і наземних цілей. Вчорашня атака в Севастополі, де було знищено склад з Shahed-136, підтверджує цю здогадку, оскільки ракетний удар був здійснений з літаків.  **Що це може означати?** 1. Збільшення мобільності: Запуск з літаків дає змогу швидше реагувати на"
2024-07-02,2024-07-02 19:31,unknown,destroyed,sevastopol,0,"⚠️ Супутникові знімки знищеного вчора складу ""шахедів"" у Севастополі  🅰️[Dnipro](https://t.me/DniproOfficial)[ | ](https://t.me/DniproOSINT)[Deployment Map](https://www.google.com/maps/d/u/1/viewer?ll=49.31394738793744%2C35.40836831652523&z=6&mid=1eFmrjREW1Hr73m9ybVOUjmOAd990Ifs)"
2024-07-03,2024-07-03 07:15,unknown,unknown,unknown,0,"**Нові безпілотники від Китаю для Росії**  Китайські та російські компанії [розробляють](https://www.epravda.com.ua/news/2024/07/3/716123/) ударний безпілотник Sunflower 200, схожий на іранський Shahed 136, яким активно атакують Україну. У 2023 році вони почали співпрацю з копіювання іранського дрона, а цього року розпочали його тестування для відправки в Росію.  Надання таких дронів Росії може бути розцінене як перехід межі летальної допомоги, що викликає занепокоєння у США та інших країн. Поки"
2024-07-03,2024-07-03 09:18,naval_port,destroyed,sevastopol,0,"В ніч на 3 липня українські морські безпілотні катери атакували Новоросійськ, куди росія перемістила частину кораблів Чорноморського флоту з Севастополя. Мер міста андрій кравченко повідомив про сигнал тривоги та початок відбиття атаки о 3:03. Жителів попросили виходити на вулиці та бігти до набережної.  Вибухи зі сторони моря тривали 30 хвилин. О 4:22 мер повідомив про скасування загрози, проте до дев'ятої ранку проводилося обстеження акваторії. За інформацією мінвбивства рф, два безпілотні кат"
2024-07-03,2024-07-03 09:35,unknown,confirmed,tver,1,"**БПЛА Ретранслятори: Як вони працюють та їх роль у війні  **Безпілотні літальні апарати (БПЛА) стали невід’ємною частиною сучасних військових операцій, значно впливаючи на тактику і стратегію боїв. В Україні використання БПЛА набуло великого розмаху під час війни з Росією, особливо завдяки впровадженню ретрансляторів.  **Використання та робота ретрансляторів:  **Ретранслятори розширюють радіус дії БПЛА, забезпечуючи надійний зв'язок між оператором і дроном навіть у складних умовах місцевості. Ц"
2024-07-04,2024-07-04 06:26,unknown,explosion,unknown,0,"**Постріл у росіян пройшов успішно. Скоріше за все вибух стався через хєрові корейські снаряди, в яких кількість порохових сумішей може відрізнятись від норми на 30%**"
2024-07-04,2024-07-04 09:54,unknown,unknown,moscow,0,"Військова частина ГРУ атакована за допомогою БПЛА сьогодні вранці у Ставропольському краї, – ASTRA.  Сьогодні вранці, 4 липня, два безпілотники атакували формуваня особливого призначення (Осназ) ГРУ у селі Московське.  🔸[Підписатися](https://t.me/dronbomber) 🔸[Підтримати ](https://send.monobank.ua/jar/8ZrrZBsyQT)🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-07-04,2024-07-04 10:58,airbase_strategic,destroyed,unknown,0,"Російська оборонна індустрія зробила значний крок уперед із впровадженням нової системи захисту від дронів під назвою ""Бар'єр"", розробленої компанією ""Перший Дирижабль"". Ця система використовує аеростатну технологію, відому як загороджувальні кулі, для протидії безпілотним літальним апаратам (БПЛА).  Під час нещодавньої конференції, присвяченої виявленню та протидії БПЛА, представники ""Першого Дирижабля"" продемонстрували систему ""Бар'єр"", яка спеціально розроблена для захисту стратегічних об'єкт"
2024-07-05,2024-07-05 07:37,power,fire,rostov|krasnodar,0,"**На Росії після атаки дронів порушена робота енергопідстанції.** 💅  __Губернатори Краснодарського краю та Ростовської області повідомили про атаки дронів, пожежі та постраждалих.__  Губернатор Краснодарського краю зазначив, що в результаті атаки пошкоджений триповерховий багатоквартирний будинок. Також порушена робота енергопідстанції, яка живить значну частину міст. 👀  🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-07-05,2024-07-05 09:39,unknown,unknown,unknown,0,Російський ударний гвинтокрил Мі-28 впав після того як в нього врізався невідомий безпілотник  🔸[Зв'язок](https://t.me/dronebomber_bot)
2024-07-05,2024-07-05 16:49,unknown,unknown,voronezh,1,"Стратком ЗСУ оприлюднила карту 10 найбільших за дальністю ударів по території РФ: рекордною була атака по радіолокаційній станції ""Воронеж-М"" в Орську. [ ](https://send.monobank.ua/jar/8ZrrZBsyQT)🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-07-06,2024-07-06 17:01,naval_port,unknown,unknown,0,"**🇪🇪🇺🇦Естонія передала Україні зенітно-ракетні комплекси малої дальності __Mistral__ разом із ракетами для них**.  Про це повідомила [пресслужба](https://x.com/MoD_Estonia/status/1809517536356024405) Міністерства оборони Естонії на платформі ""X"".  «Зенітно-ракетні комплекси малої дальності ""Mistral"" і ракети, надані Естонією, вже доставлені в Україну. Продовжуємо підтримувати борців за свободу», - зазначено в повідомленні.  Точна кількість наданої допомоги не розголошується з міркувань безпеки. "
2024-07-06,2024-07-06 19:59,command_control,destroyed,unknown,0,"**На лівому березі Херсонщині знищено сучасну російську РЛС «Каста-2Е2», яка лише напередодні повномасштабного вторгнення почала **надходити **в російське військо **— Сили Оборони Півдня [ ](https://send.monobank.ua/jar/8ZrrZBsyQT)🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-07-07,2024-07-07 14:58,unknown,destroyed,pskov,0,"**Картонні дрони в руках збройних сил України (частина 1).**  Пам'ятаєте атаку на авіабазу в Пскові 23 вересня 2023 року, де було знищено чотири російські Іл-76? Ця операція стала можливою завдяки використанню австралійських картонних дронів, розроблених компанією SYPAQ. Вартість пошкоджень склала близько $200 мільйонів.  Картонні дрони SYPAQ — це унікальні безпілотні літальні апарати, виготовлені з дешевого і легкого матеріалу. Завдяки використанню картону та інших недорогих матеріалів, ці дрон"
2024-07-07,2024-07-07 14:58,ammunition_depot,damaged,kursk,0,"**Картонні дрони в руках збройних сил України (частина 2).**  Дрони SYPAQ, також відомі як Precision Payload Delivery System (PPDS), мають наступні характеристики: виготовлені з картону, що робить їх легкими та дешевими; дальність польоту до 120 км; вантажопідйомність до 3 кг корисного навантаження; оснащені системами GPS для точного керування; використовуються для розвідки, доставки вантажів та нанесення ударів.  Бойова частина ударного дрону направленої дії уламкова з готовими уражаючими елеме"
2024-07-08,2024-07-08 06:30,airbase,unknown,tver,0,"**ФСБ заявила, що запобігла спробі українських спецслужб провести операцію з викрадення дальнього стратегічного бомбардувальника Ту-22М3 ВКС росії.**  Стверджують, що російський льотчик за $3 млн мав перелетіти на український аеродром  🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-07-08,2024-07-08 11:53,unknown,unknown,unknown,0,"РАКЕТНА АТАКА ТЕРОРИСТІВ ЗБИТО 30 РАКЕТ З 38.  Близько 10-ї ранку ворог завдав комбінованого ракетного удару по Україні із використанням ракет повітряного, морського та наземного базування.  Всього, за попередніми даними, російські військові злочинці випустили 38 ракет різних типів:   - 1 аеробалістичну ракету Х-47М2 «Кинджал»; - 4 балістичні ракети «Іскандер-М»; - 1 крилату ракету 3М22 «Циркон»; - 13 крилатих ракет Х-101; - 14 крилатих ракет «Калібр»; - 2 крилаті ракети Х-22; - 3 керовані авіац"
2024-07-08,2024-07-08 12:10,unknown,unknown,unknown,0,"Україна ініціює скликання надзвичайного засідання Радбезу ООН після атак рф, – Зеленський."
2024-07-08,2024-07-08 14:18,unknown,unknown,unknown,0,"**Ми очікуємо від партнерів дозвіл на використання їхньої зброї по тим військовими базам, якими користується росія, щоб завдавати ударів по території України, - **Зеленський [ ](https://send.monobank.ua/jar/8ZrrZBsyQT)🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-07-09,2024-07-09 11:20,airbase,damaged,unknown,0,"💥У ніч на 9 липня був атакований аеродром в Ахтубінську - Українська Правда   Наразі точно відомо що там базуються найкращі літаки російської армії Су-57, по яким нещодавно було завдано удар за допомогою далекобійних БПЛА, в результаті атаки щонайменше один Су-57 був пошкоджений.  Чекаємо супутникові знімки.  🔸[Підписатися](https://t.me/dronbomber) 🔸[Підтримати ](https://send.monobank.ua/jar/8ZrrZBsyQT)🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-07-09,2024-07-09 12:29,unknown,unknown,unknown,0,"Держава повністю відбудує дитячу лікарню «Охматдит». Яка вчора потрапила під ракетний удар росії. Роботи починаються вже зараз, — прем'єр-міністр України Шмигаль [ ](https://send.monobank.ua/jar/8ZrrZBsyQT)🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-07-09,2024-07-09 15:49,unknown,destroyed,unknown,0,"**Сьогодні росіяни атакували Полтавщину. Попередньо є влучання у промисловий обʼєкт. Без постраждалих, **- ОВА [ ](https://send.monobank.ua/jar/8ZrrZBsyQT)🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-07-10,2024-07-10 08:25,unknown,unknown,unknown,0,"🇬🇧 **Британія дає дозвіл Україні на завдання ударів за допомогою крилатих ракет Storm Shadow вглиб території РФ,** — __Bloomberg посилаючись на нового міністра оборони.__  🔸[Зв'язок](https://t.me/dronebomber_bot)"
2024-07-11,2024-07-11 09:40,oil_refinery,unknown,moscow|spb,0,"БПАК ""Горлиця-2"", – ВІДПОВІДЬ РОСІЙСЬКИМ ОРЛАНАМ  ⚪️""Горлиця"" від ДП ""Антонов"" – це сучасний український безпілотний авіаційний комплекс, що здатен кардинально змінити правила гри на полі бою. З максимальною дальністю польоту понад 1050 км, цей дрон може виконувати завдання на великій відстані, мова йде про Москву, Санкт-Петербург та багато інших важливих для РФ міст майже до уралу  ℹ️**Технічні Характеристики та Переваги**  ""Горлиця"" може нести модулі машинного зору та автоматичного пошуку ціле"
2024-07-11,2024-07-11 19:22,unknown,unknown,unknown,0,"Звертаюся до всіх, хто слідкує за новинами у Telegram: рекомендую на кілька днів утриматися від читання різних каналів. Наразі поширюється багато неправдивих заяв і статей, які створюють значний психологічний дискомфорт.  Щодо ударів по глибині території противника за допомогою ракет ATACMS, можете бути впевнені: ці удари будуть здійснюватися. Керівництво немає іншого вибору, навіть якщо дехто публічно висловлюється проти цього. У демократичних країнах подібні заяви є частиною політичної гри, сп"
2024-07-12,2024-07-12 09:10,radar_ad,unknown,tver,0,"Чи пам’ятаєте ви новину про те, що американська компанія хотіла продати Україні безпілотники RQ-4 Global Hawk за символічну ціну в 1 долар? Ця пропозиція була дуже перспективною, але, на жаль, США не підтримали цю ініціативу.  Основними причинами відмови стали кілька факторів. По-перше, ескалація конфлікту: постачання таких високотехнологічних розвідувальних дронів могло б спровокувати подальшу ескалацію конфлікту з Росією. Однак це твердження не має вагомих підстав, оскільки ці БПЛА були б викл"
2024-07-12,2024-07-12 15:00,command_control,unknown,crimea,0,"**Не хотів мусолити цю тему, бо вже багато людей про це висловилося в інтернеті, але мені теж захотілося поговорити про одну з найважливіших речей на війні – **`пропаганду`. Бо вона не завжди буває такою, якою її всі підносять (не завше це щось типу __""Міністерства правди""__ з роману «__1984__»), пропаганда здорової людини потрібна для того, щоб займатися правильною, наголошую, правильною індоктринацією населення. Якщо країна не буде займатися цим питанням самостійно, то цим будуть займатися наш"
2024-07-14,2024-07-14 11:58,airbase_strategic,unknown,moscow,0,"**Чи зможе FPV дрон долетіти до Москви?**  Теоретично, FPV дрон може долетіти до Москви, але для цього потрібно вирішити кілька технічних і стратегічних завдань. Ось детальний огляд необхідних заходів та вимог.  📡**Покращені батареї**:  Для подолання понад 500 км потрібні високоефективні батареї. Літій-полімерні (Li-Po) або літій-іонні (Li-Ion) батареї з великою ємністю є основним і єдиним вибором. Батареї мають забезпечувати не менше 4-6 годин безперервного польоту. Важливо врахувати вагу батар"
2024-07-14,2024-07-14 18:43,unknown,unknown,unknown,0,"«Усі важливі рішення США приймалися дуже тихо, і цього разу вони також дозволять наносити удари по території росії», — заступник голови ОП Жовква коментуючи дозвіл застосування атакмс по території РФ  [Підписатись](https://t.me/couch_iu) | [на розвиток](https://send.monobank.ua/jar/5dACyyVNFj) | [зв'язок](http://t.me/Ldr_supp_bot)"
